algo,taille,temps,hauteur
progdyn,100000,146.864170,
48432995,,,
progdyn,100000,146.213607,
49322880,,,
progdyn,100000,146.243677,
48008430,,,
progdyn,100000,146.207436,
47887847,,,
progdyn,100000,146.135203,
48242030,,,
progdyn,100000,145.950898,
47860970,,,
progdyn,100000,146.229656,
48969105,,,
progdyn,100000,145.737325,
49246170,,,
progdyn,100000,146.108460,
47820687,,,
progdyn,100000,145.814959,
48393877,,,
progdyn,10000,1.054478,
8385036,,,
progdyn,10000,1.043241,
8473706,,,
progdyn,10000,1.045745,
8330980,,,
progdyn,10000,1.048604,
8404847,,,
progdyn,10000,1.054163,
8523284,,,
progdyn,10000,1.042966,
8529058,,,
progdyn,10000,1.048733,
8469333,,,
progdyn,10000,1.056090,
8448654,,,
progdyn,10000,1.054769,
8298566,,,
progdyn,10000,1.049087,
8358729,,,
progdyn,1000,0.014685,
256310,,,
progdyn,1000,0.015451,
249670,,,
progdyn,1000,0.016840,
243945,,,
progdyn,1000,0.014756,
250075,,,
progdyn,1000,0.016128,
241546,,,
progdyn,1000,0.012594,
252536,,,
progdyn,1000,0.017848,
243795,,,
progdyn,1000,0.015233,
236679,,,
progdyn,1000,0.013059,
245871,,,
progdyn,1000,0.016284,
258005,,,
progdyn,100,0.000264,
6840,,,
progdyn,100,0.000444,
7093,,,
progdyn,100,0.000455,
6950,,,
progdyn,100,0.000281,
6943,,,
progdyn,100,0.000309,
7465,,,
progdyn,100,0.000431,
6132,,,
progdyn,100,0.000439,
7641,,,
progdyn,100,0.000423,
7009,,,
progdyn,100,0.000473,
6753,,,
progdyn,100,0.000284,
6988,,,
progdyn,50000,34.625338,
31002827,,,
progdyn,50000,34.806452,
30760927,,,
progdyn,50000,34.868337,
31601657,,,
progdyn,50000,34.698582,
31004906,,,
progdyn,50000,34.613142,
31179390,,,
progdyn,50000,34.853997,
31193142,,,
progdyn,50000,34.669995,
30662192,,,
progdyn,50000,34.673396,
31247872,,,
progdyn,50000,34.817369,
30742646,,,
progdyn,50000,34.688370,
31724814,,,
progdyn,5000,0.270273,
3017085,,,
progdyn,5000,0.271222,
2911230,,,
progdyn,5000,0.272910,
2918582,,,
progdyn,5000,0.270360,
2982489,,,
progdyn,5000,0.270236,
3000710,,,
progdyn,5000,0.271363,
2999538,,,
progdyn,5000,0.273639,
2853680,,,
progdyn,5000,0.271221,
2863352,,,
progdyn,5000,0.273173,
2985261,,,
progdyn,5000,0.270175,
2844954,,,
progdyn,500,0.004287,
80756,,,
progdyn,500,0.007046,
86885,,,
progdyn,500,0.007040,
84392,,,
progdyn,500,0.005565,
85895,,,
progdyn,500,0.005352,
91228,,,
progdyn,500,0.006399,
79519,,,
progdyn,500,0.006547,
82316,,,
progdyn,500,0.003302,
86701,,,
progdyn,500,0.005612,
86179,,,
progdyn,500,0.005450,
90108,,,
